event_root_code,description
01,Make Public Statement
02,Appeal
03,Express Intent To Cooperate
04,Consult
05,Engage In Diplomatic Cooperation
06,Engage In Material Cooperation
07,Provide Aid
08,Yield
09,Investigate
10,Demand
11,Disapprove
12,Reject
13,Threaten
14,Protest
15,Exhibit Force Posture
16,Reduce Relations
17,Coerce
18,Assault
19,Fight
20,Use Unconventional Mass Violence
